time,temp,humi
2020-08-08 13:45:49.498292,28.29810776313319,43.63246995830439
2020-08-08 13:46:49.634091,29.059731758574333,41.49440396117597
2020-08-08 13:47:49.724450,29.32160077053097,40.72088249184045
2020-08-08 13:48:49.827863,28.8448766133398,41.49189952790312
2020-08-08 13:49:49.875078,29.023954864665846,40.98057073230431
2020-08-08 13:50:49.979755,28.754449639027523,41.48592444384961
2020-08-08 13:51:50.054946,29.225966132148315,40.54055948717008
2020-08-08 13:52:50.111890,29.375529160061546,40.392524438077075
2020-08-08 13:53:50.158690,29.595693747571357,39.985632257328824
2020-08-08 13:54:50.247671,29.596873500491835,39.72569828647663
2020-08-08 13:55:50.329081,29.569649373308376,39.98253016631479
2020-08-08 13:56:50.395438,29.595795613844885,39.98747107790464
2020-08-08 13:57:50.498201,29.708871044937172,39.67810532230377
2020-08-08 13:58:50.584093,29.576331582703464,39.821669396770304
2020-08-08 13:59:50.655501,29.640614625573612,39.660573778341934
2020-08-08 14:00:50.757557,29.600198748205777,39.6017510460586
2020-08-08 14:01:50.861052,29.497055830939814,39.82212388368891
2020-08-08 14:02:50.948696,29.71844165491823,39.49374341905262
2020-08-08 14:03:51.016136,29.940963064413737,39.425487945667854
2020-08-08 14:04:51.128145,29.618831237122706,39.830723274837474
2020-08-08 14:05:51.229429,29.61975085342109,40.109093179428974
2020-08-08 14:06:51.337533,29.541363681297625,40.08197053908922
2020-08-08 14:07:51.488097,29.67842054372602,39.771528771681645
2020-08-08 14:08:51.577525,29.87300878244285,39.37116802433897
2020-08-08 14:09:51.680129,29.69758023747754,39.38105262349612
2020-08-08 14:10:51.788967,29.734651094473545,38.97494424547052
2020-08-08 14:11:51.844577,29.575296258142377,39.29567907046885
2020-08-08 14:12:51.938086,29.52976284628588,39.40031213353255
2020-08-08 14:13:52.058838,29.535176430946862,39.09406005496264
2020-08-08 14:14:52.106475,29.69448435160801,38.46080732599109
2020-08-08 14:15:52.210092,29.27453468035213,39.07818817877683
2020-08-08 14:16:52.308179,29.40619562186731,38.73361024341043
2020-08-08 14:17:52.353251,29.397073857657052,38.61435212469733
2020-08-08 14:18:52.454159,29.42565420928526,38.16987780673782
2020-08-08 14:19:52.568573,29.433206515282993,37.83952975425934
2020-08-08 14:20:52.634895,29.733128084611327,37.08908728155976
2020-08-08 14:21:52.727588,29.525020460129817,37.07393454442364
2020-08-08 14:22:52.828499,29.50119456216007,37.045625434322396
2020-08-08 14:23:52.930647,29.50799306131148,37.071187210517564
2020-08-08 14:24:53.053536,29.54042881827019,36.759475054109394
2020-08-08 14:25:53.150189,29.52976595063372,36.68481379732147
2020-08-08 14:26:53.248633,29.299750697864674,36.936942653025106
2020-08-08 14:27:53.348229,29.623209978671632,35.71881938449008
2020-08-08 14:28:53.457804,29.741728070263605,34.64679825309656
2020-08-08 14:29:53.562008,29.74604994481075,34.82297325685985
2020-08-08 14:30:53.658631,29.357907090443398,35.09017708869918
2020-08-08 14:31:53.762870,29.83129908283371,34.644911703743155
2020-08-08 14:32:53.891978,29.863506546288548,34.84845774130143
2020-08-08 14:33:53.966895,29.976010259483015,34.79907926568937
2020-08-08 14:34:54.067840,29.925629246880643,34.954553185104004
2020-08-08 14:35:54.177571,29.79769656111796,35.24197215912148
2020-08-08 14:36:54.217420,29.721782672365382,35.43867099648471
2020-08-08 14:37:54.297813,29.23461536097754,36.38392781002281
2020-08-08 14:38:54.388652,28.840061344840567,37.1634977998052
2020-08-08 14:39:54.437498,29.31095916843575,36.7110595073771
2020-08-08 14:40:54.497844,28.788824195011294,37.250090162667135
2020-08-08 14:41:54.597915,28.286859502456323,36.76704128536935
2020-08-08 14:42:54.702259,28.48299190213339,35.23911818413828
2020-08-08 14:43:54.797558,28.77605448542981,34.129271856019265
2020-08-08 14:44:54.889741,28.38748889690695,33.543323426001386
2020-08-08 14:45:54.974850,27.833677918299703,33.40795826146552
2020-08-08 14:46:55.093317,27.656583132939325,32.91564221074346
2020-08-08 14:47:55.197876,27.788600860846064,32.47067919608718
2020-08-08 14:48:55.298356,27.61359948776765,33.57971804427162
2020-08-08 14:49:55.400903,26.991063156194038,34.85799926097107
2020-08-08 14:50:55.524212,27.051840770803064,35.06406145059441
2020-08-08 14:51:55.622102,26.853921300981693,36.050945074186
2020-08-08 14:52:55.713275,27.466471357881325,34.59108161277556
2020-08-08 14:53:55.819334,27.48287268388674,33.373798618918514
2020-08-08 14:54:55.919556,27.465257168976297,32.699274372433685
2020-08-08 14:55:56.022271,27.468795645522277,32.81590597160539
2020-08-08 14:56:56.114974,26.743906466144594,34.32939810211602
2020-08-08 14:57:56.195022,26.515420385197423,35.00137708981619
2020-08-08 14:58:56.287572,26.586931270450084,35.09782097903233
2020-08-08 14:59:56.361416,26.710500135653888,35.30690126107969
2020-08-08 15:00:56.461963,27.295522896182774,33.52901317959348
2020-08-08 15:01:56.548549,27.554874543386912,32.18078752571864
2020-08-08 15:02:56.629674,27.378805402517024,32.24561313889646
2020-08-08 15:03:56.703047,26.635286216457864,34.13451093017888
2020-08-08 15:04:56.808810,26.25788200479068,34.93372419098184
2020-08-08 15:05:56.924008,26.37647091628345,34.9902168284203
2020-08-08 15:06:57.017725,26.57710518440946,35.01051862436668
2020-08-08 15:07:57.107679,27.26550221009321,33.39784106099886
2020-08-08 15:08:57.207597,27.250090540130035,32.35276739044101
2020-08-08 15:09:57.308570,27.346217097614,32.42522532674468
2020-08-08 15:10:57.372067,26.62787542763455,34.09085417878592
2020-08-08 15:11:57.475690,26.926492489435166,33.747181128223275
