time,distance,litros,litrosTotales
2023-08-04 00:00:21.796900,18.28,5886.0,1.0
2023-08-04 00:01:25.511005,17.64,5904.0,1.0
2023-08-04 00:02:29.216908,17.08,5928.0,1.0
2023-08-04 00:03:32.872664,17.62,5910.0,1.0
2023-08-04 00:04:36.557259,17.32,5916.0,1.0
2023-08-04 00:05:40.184696,17.3,5916.0,1.0
2023-08-04 00:06:43.866413,17.65,5904.0,1.0
2023-08-04 00:07:47.569974,17.63,5910.0,1.0
2023-08-04 00:08:51.236566,17.61,5910.0,1.0
2023-08-04 00:09:54.953136,17.59,5910.0,1.0
2023-08-04 00:10:58.587986,17.68,5904.0,1.0
2023-08-04 00:12:02.296709,17.55,5910.0,1.0
2023-08-04 00:13:05.948525,17.58,5910.0,1.0
2023-08-04 00:14:09.662419,17.62,5910.0,1.0
2023-08-04 00:15:13.359367,17.28,5922.0,1.0
2023-08-04 00:16:17.033922,17.59,5910.0,1.0
2023-08-04 00:17:20.745869,17.65,5904.0,1.0
2023-08-04 00:18:24.420670,17.61,5910.0,1.0
2023-08-04 00:19:28.071186,17.57,5910.0,1.0
2023-08-04 00:20:31.788546,17.63,5910.0,1.0
2023-08-04 00:21:35.499367,17.64,5904.0,1.0
2023-08-04 00:22:39.222690,17.61,5910.0,1.0
2023-08-04 00:23:42.920724,17.96,5898.0,1.0
2023-08-04 00:24:46.624193,17.9,5898.0,1.0
2023-08-04 00:25:50.303958,17.29,5922.0,1.0
2023-08-04 00:26:54.017071,17.59,5910.0,1.0
2023-08-04 00:27:57.732881,17.61,5910.0,1.0
2023-08-04 00:29:01.440934,17.64,5904.0,1.0
2023-08-04 00:30:05.096683,17.63,5910.0,1.0
2023-08-04 00:31:08.741413,17.65,5904.0,1.0
2023-08-04 00:32:12.455642,17.37,5916.0,1.0
2023-08-04 00:33:16.171547,17.28,5922.0,1.0
2023-08-04 00:34:19.852704,17.66,5904.0,1.0
2023-08-04 00:35:23.528544,17.61,5910.0,1.0
2023-08-04 00:36:27.228862,17.66,5904.0,1.0
2023-08-04 00:37:30.918847,17.66,5904.0,1.0
2023-08-04 00:38:34.640055,17.62,5910.0,1.0
2023-08-04 00:39:38.364690,17.65,5904.0,1.0
2023-08-04 00:40:42.083532,17.64,5904.0,1.0
2023-08-04 00:41:45.748591,17.64,5904.0,1.0
2023-08-04 00:42:49.400435,17.3,5916.0,1.0
2023-08-04 00:43:53.065901,17.59,5910.0,1.0
2023-08-04 00:44:56.763288,17.62,5910.0,1.0
2023-08-04 00:46:00.486100,17.61,5910.0,1.0
2023-08-04 00:47:04.214349,17.68,5904.0,1.0
2023-08-04 00:48:07.934574,17.6,5910.0,1.0
2023-08-04 00:49:11.663611,17.5,5910.0,1.0
2023-08-04 00:50:15.377670,17.62,5910.0,1.0
2023-08-04 00:51:19.093483,17.62,5910.0,1.0
2023-08-04 00:52:22.750955,17.96,5898.0,1.0
2023-08-04 00:53:26.412687,17.35,5916.0,1.0
2023-08-04 00:54:30.116599,16.85,5934.0,1.0
2023-08-04 00:55:33.836783,17.79,5904.0,1.0
2023-08-04 00:56:37.545431,17.59,5910.0,1.0
2023-08-04 00:57:41.275224,17.62,5910.0,1.0
2023-08-04 00:58:44.981320,17.59,5910.0,1.0
2023-08-04 00:59:48.672725,17.59,5910.0,1.0
2023-08-04 01:00:52.332429,17.57,5910.0,1.0
2023-08-04 01:01:56.054806,18.04,5892.0,1.0
2023-08-04 01:02:59.768695,17.93,5898.0,1.0
2023-08-04 01:04:03.465131,17.35,5916.0,1.0
2023-08-04 01:05:07.167188,17.58,5910.0,1.0
2023-08-04 01:06:10.848529,17.62,5910.0,1.0
2023-08-04 01:07:14.529462,17.6,5910.0,1.0
2023-08-04 01:08:18.184744,17.63,5910.0,1.0
2023-08-04 01:09:21.890331,17.56,5910.0,1.0
2023-08-04 01:10:25.583174,17.57,5910.0,1.0
2023-08-04 01:11:29.263649,17.57,5910.0,1.0
2023-08-04 01:12:32.924679,17.67,5904.0,1.0
2023-08-04 01:13:36.653039,19.53,5838.0,1.0
2023-08-04 01:14:40.313312,17.97,5898.0,1.0
2023-08-04 01:15:44.039718,17.97,5898.0,1.0
2023-08-04 01:16:47.745771,17.63,5910.0,1.0
2023-08-04 01:17:51.424085,17.64,5904.0,1.0
2023-08-04 01:18:55.141292,17.6,5910.0,1.0
2023-08-04 01:19:58.811779,17.61,5910.0,1.0
2023-08-04 01:21:02.504455,17.64,5904.0,1.0
2023-08-04 01:22:06.234644,17.67,5904.0,1.0
2023-08-04 01:23:09.946112,17.59,5910.0,1.0
2023-08-04 01:24:13.608719,17.94,5898.0,1.0
2023-08-04 01:25:17.292546,17.9,5898.0,1.0
2023-08-04 01:26:20.968565,17.93,5898.0,1.0
2023-08-04 01:27:24.668505,17.64,5904.0,1.0
2023-08-04 01:28:28.377777,17.61,5910.0,1.0
2023-08-04 01:29:32.087143,18.24,5886.0,1.0
