time,distance,litros,litrosTotales
2024-07-26 00:00:06.546637,16.31,5952.0,1.0
2024-07-26 00:01:06.550729,16.34,5952.0,1.0
2024-07-26 00:02:06.553371,16.34,5952.0,1.0
2024-07-26 00:03:06.556054,16.32,5952.0,1.0
2024-07-26 00:04:06.558736,16.35,5952.0,1.0
2024-07-26 00:05:06.561384,16.33,5952.0,1.0
2024-07-26 00:06:06.563947,16.32,5952.0,1.0
2024-07-26 00:07:06.566549,16.34,5952.0,1.0
2024-07-26 00:08:06.569344,16.33,5952.0,1.0
2024-07-26 00:09:06.571944,16.32,5952.0,1.0
2024-07-26 00:10:06.574587,16.34,5952.0,1.0
2024-07-26 00:11:06.577191,16.32,5952.0,1.0
2024-07-26 00:12:06.579823,16.31,5952.0,1.0
2024-07-26 00:13:06.582473,16.33,5952.0,1.0
2024-07-26 00:14:06.585139,16.31,5952.0,1.0
2024-07-26 00:15:06.587757,16.31,5952.0,1.0
2024-07-26 00:16:06.590413,16.32,5952.0,1.0
2024-07-26 00:17:06.592999,16.33,5952.0,1.0
2024-07-26 00:18:06.595711,16.82,5934.0,1.0
2024-07-26 00:19:06.598318,16.32,5952.0,1.0
2024-07-26 00:20:06.600875,16.31,5952.0,1.0
2024-07-26 00:21:06.603561,16.32,5952.0,1.0
2024-07-26 00:22:06.606168,16.34,5952.0,1.0
2024-07-26 00:23:06.608855,16.31,5952.0,1.0
2024-07-26 00:24:06.611468,16.31,5952.0,1.0
2024-07-26 00:25:06.614009,16.33,5952.0,1.0
2024-07-26 00:26:06.616694,16.01,5964.0,1.0
2024-07-26 00:27:06.619278,16.0,5964.0,1.0
2024-07-26 00:28:06.621858,16.0,5964.0,1.0
2024-07-26 00:29:06.624513,16.33,5952.0,1.0
2024-07-26 00:30:06.627114,16.32,5952.0,1.0
2024-07-26 00:31:06.629760,16.33,5952.0,1.0
2024-07-26 00:32:06.632415,16.33,5952.0,1.0
2024-07-26 00:33:06.635463,16.31,5952.0,1.0
2024-07-26 00:34:06.638031,16.29,5952.0,1.0
2024-07-26 00:35:06.640710,16.32,5952.0,1.0
2024-07-26 00:36:06.643352,16.32,5952.0,1.0
2024-07-26 00:37:06.645889,16.32,5952.0,1.0
2024-07-26 00:38:06.648385,16.31,5952.0,1.0
2024-07-26 00:39:06.650943,16.32,5952.0,1.0
2024-07-26 00:40:06.653673,16.32,5952.0,1.0
2024-07-26 00:41:06.656373,16.31,5952.0,1.0
2024-07-26 00:42:06.659018,16.33,5952.0,1.0
2024-07-26 00:43:06.661635,16.32,5952.0,1.0
2024-07-26 00:44:06.664291,16.33,5952.0,1.0
2024-07-26 00:45:06.666894,16.35,5952.0,1.0
2024-07-26 00:46:06.669509,16.34,5952.0,1.0
2024-07-26 00:47:06.672246,16.33,5952.0,1.0
2024-07-26 00:48:06.674843,16.33,5952.0,1.0
2024-07-26 00:49:06.677665,16.33,5952.0,1.0
2024-07-26 00:50:06.680282,16.32,5952.0,1.0
2024-07-26 00:51:06.682895,16.33,5952.0,1.0
2024-07-26 00:52:06.685480,16.34,5952.0,1.0
2024-07-26 00:53:06.688065,16.34,5952.0,1.0
2024-07-26 00:54:06.690777,16.34,5952.0,1.0
2024-07-26 00:55:06.693402,16.34,5952.0,1.0
2024-07-26 00:56:06.696005,16.32,5952.0,1.0
2024-07-26 00:57:06.698616,16.35,5952.0,1.0
2024-07-26 00:58:06.701244,16.33,5952.0,1.0
2024-07-26 00:59:06.703864,16.31,5952.0,1.0
2024-07-26 01:00:06.706517,16.33,5952.0,1.0
2024-07-26 01:01:06.709118,16.32,5952.0,1.0
2024-07-26 01:02:06.711755,16.33,5952.0,1.0
2024-07-26 01:03:06.714436,16.32,5952.0,1.0
2024-07-26 01:04:06.717031,16.31,5952.0,1.0
2024-07-26 01:05:06.719620,16.31,5952.0,1.0
2024-07-26 01:06:06.722375,16.32,5952.0,1.0
2024-07-26 01:07:06.725015,16.31,5952.0,1.0
2024-07-26 01:08:06.727617,16.33,5952.0,1.0
2024-07-26 01:09:06.730216,16.34,5952.0,1.0
2024-07-26 01:10:06.732905,16.33,5952.0,1.0
2024-07-26 01:11:06.735531,16.31,5952.0,1.0
2024-07-26 01:12:06.738111,16.34,5952.0,1.0
2024-07-26 01:13:06.740811,16.34,5952.0,1.0
2024-07-26 01:14:06.743446,16.33,5952.0,1.0
2024-07-26 01:15:06.746072,16.33,5952.0,1.0
2024-07-26 01:16:06.748738,16.33,5952.0,1.0
2024-07-26 01:17:06.751355,16.31,5952.0,1.0
2024-07-26 01:18:06.754043,16.33,5952.0,1.0
2024-07-26 01:19:06.756675,16.32,5952.0,1.0
2024-07-26 01:20:06.759323,16.33,5952.0,1.0
