time,distance,litros
2023-05-10 00:00:14.761687,75.51,644.0
2023-05-10 00:01:19.315982,75.45,644.0
2023-05-10 00:02:23.851917,75.51,644.0
2023-05-10 00:03:28.409574,75.05,647.0
2023-05-10 00:04:32.958582,75.46,644.0
2023-05-10 00:05:37.458020,75.02,647.0
2023-05-10 00:06:42.031377,75.88,642.0
2023-05-10 00:07:46.559830,75.49,644.0
2023-05-10 00:08:51.073310,75.48,644.0
2023-05-10 00:09:55.611918,75.44,644.0
2023-05-10 00:11:00.176042,75.02,647.0
2023-05-10 00:12:04.674856,75.08,647.0
2023-05-10 00:13:09.242799,75.5,644.0
2023-05-10 00:14:13.784073,75.57,644.0
2023-05-10 00:15:18.336069,75.43,645.0
2023-05-10 00:16:22.894283,75.51,644.0
2023-05-10 00:17:27.448770,75.51,644.0
2023-05-10 00:18:31.978058,75.46,644.0
2023-05-10 00:19:36.564225,76.38,639.0
2023-05-10 00:20:41.127995,76.31,639.0
2023-05-10 00:21:45.685145,75.46,644.0
2023-05-10 00:22:50.200052,75.48,644.0
2023-05-10 00:23:54.770379,75.87,642.0
2023-05-10 00:24:59.333459,75.53,644.0
2023-05-10 00:26:03.891324,75.51,644.0
2023-05-10 00:27:08.456008,76.34,639.0
2023-05-10 00:28:13.001328,75.52,644.0
2023-05-10 00:29:17.519962,75.9,642.0
2023-05-10 00:30:22.019930,75.52,644.0
2023-05-10 00:31:26.552935,75.45,644.0
2023-05-10 00:32:31.114738,75.66,643.0
2023-05-10 00:33:35.627340,76.32,639.0
2023-05-10 00:34:40.186856,75.5,644.0
2023-05-10 00:35:44.760722,75.47,644.0
2023-05-10 00:36:49.323320,76.02,641.0
2023-05-10 00:37:53.890096,74.97,647.0
2023-05-10 00:38:58.434188,76.75,637.0
2023-05-10 00:40:02.915952,75.84,642.0
2023-05-10 00:41:07.455242,76.76,637.0
2023-05-10 00:42:11.968202,76.27,640.0
2023-05-10 00:43:16.522367,76.3,639.0
2023-05-10 00:44:21.076700,75.91,642.0
2023-05-10 00:45:25.587871,75.51,644.0
2023-05-10 00:46:30.157380,75.45,644.0
2023-05-10 00:47:34.724364,75.43,645.0
2023-05-10 00:48:39.263900,75.46,644.0
2023-05-10 00:49:43.832299,75.76,643.0
2023-05-10 00:50:48.348533,75.45,644.0
2023-05-10 00:51:52.915927,75.48,644.0
2023-05-10 00:52:57.492512,75.46,644.0
2023-05-10 00:54:02.031278,75.85,642.0
2023-05-10 00:55:06.584249,75.54,644.0
2023-05-10 00:56:11.131714,75.53,644.0
2023-05-10 00:57:15.704608,84.47,591.0
2023-05-10 00:58:20.258831,75.93,642.0
2023-05-10 00:59:25.951877,75.51,644.0
2023-05-10 01:00:30.513789,75.06,647.0
2023-05-10 01:01:35.060079,76.71,637.0
2023-05-10 01:02:39.643199,75.46,644.0
2023-05-10 01:03:44.188053,76.35,639.0
2023-05-10 01:04:48.738523,75.53,644.0
2023-05-10 01:05:53.247937,75.06,647.0
2023-05-10 01:06:57.792854,75.52,644.0
2023-05-10 01:08:02.348897,76.31,639.0
2023-05-10 01:09:06.914217,75.95,641.0
2023-05-10 01:10:11.470323,75.46,644.0
2023-05-10 01:11:16.039340,75.51,644.0
2023-05-10 01:12:21.719925,75.35,645.0
2023-05-10 01:13:27.368543,85.0,588.0
2023-05-10 01:14:31.935970,75.96,641.0
2023-05-10 01:15:36.509363,75.93,642.0
2023-05-10 01:16:41.077145,75.68,643.0
2023-05-10 01:17:45.607917,75.51,644.0
2023-05-10 01:18:51.313698,75.04,647.0
2023-05-10 01:19:55.804214,75.45,644.0
2023-05-10 01:21:00.360997,75.5,644.0
2023-05-10 01:22:06.060193,75.48,644.0
2023-05-10 01:23:10.620418,75.44,644.0
2023-05-10 01:24:16.290004,75.44,644.0
2023-05-10 01:25:21.928009,75.04,647.0
2023-05-10 01:26:27.563845,75.46,644.0
2023-05-10 01:27:33.232118,75.51,644.0
2023-05-10 01:28:37.799024,75.07,647.0
2023-05-10 01:29:43.500653,75.51,644.0
2023-05-10 01:30:48.070150,75.49,644.0
2023-05-10 01:31:53.735815,75.49,644.0
2023-05-10 01:32:59.404050,75.51,644.0
2023-05-10 01:34:03.979407,75.57,644.0
2023-05-10 01:35:09.687941,75.42,645.0
2023-05-10 01:36:15.353320,75.93,642.0
2023-05-10 01:37:21.063495,76.11,641.0
2023-05-10 01:38:25.587827,75.45,644.0
2023-05-10 01:39:31.250023,75.95,641.0
2023-05-10 01:40:36.954915,75.52,644.0
2023-05-10 01:41:42.633315,75.95,641.0
2023-05-10 01:42:48.313937,75.95,641.0
2023-05-10 01:43:54.016935,75.94,642.0
2023-05-10 01:44:59.718595,75.51,644.0
2023-05-10 01:46:05.350179,75.36,645.0
2023-05-10 01:47:11.043825,75.44,644.0
2023-05-10 01:48:16.730131,75.49,644.0
2023-05-10 01:49:22.429804,75.04,647.0
2023-05-10 01:50:28.104822,75.53,644.0
2023-05-10 01:51:33.769416,75.47,644.0
2023-05-10 01:52:39.467262,74.88,648.0
2023-05-10 01:53:45.124133,75.05,647.0
2023-05-10 01:54:50.761704,75.51,644.0
2023-05-10 01:55:56.455032,75.5,644.0
2023-05-10 01:57:02.137717,76.36,639.0
2023-05-10 01:58:07.809935,75.53,644.0
2023-05-10 01:59:13.483433,75.46,644.0
2023-05-10 02:00:19.155825,75.47,644.0
2023-05-10 02:01:24.854784,75.05,647.0
2023-05-10 02:02:30.552864,75.51,644.0
2023-05-10 02:03:36.225113,75.5,644.0
2023-05-10 02:04:41.852629,75.47,644.0
2023-05-10 02:05:47.484903,75.51,644.0
2023-05-10 02:06:53.164126,75.22,646.0
2023-05-10 02:07:58.832147,75.94,642.0
2023-05-10 02:09:04.501016,75.48,644.0
2023-05-10 02:10:10.168087,75.46,644.0
2023-05-10 02:11:15.861787,75.97,641.0
2023-05-10 02:12:21.535801,75.06,647.0
2023-05-10 02:13:27.209741,75.49,644.0
2023-05-10 02:14:32.903833,75.46,644.0
2023-05-10 02:15:38.576266,75.48,644.0
2023-05-10 02:16:44.254002,75.95,641.0
2023-05-10 02:17:49.873948,75.42,645.0
2023-05-10 02:18:55.555795,75.53,644.0
2023-05-10 02:20:01.211790,75.51,644.0
2023-05-10 02:21:06.901814,75.93,642.0
2023-05-10 02:22:12.595931,75.49,644.0
2023-05-10 02:23:18.227828,75.49,644.0
2023-05-10 02:24:23.870064,75.5,644.0
2023-05-10 02:25:29.566006,75.49,644.0
2023-05-10 02:26:35.246449,75.05,647.0
2023-05-10 02:27:40.921177,75.44,644.0
2023-05-10 02:28:46.611655,75.51,644.0
2023-05-10 02:29:52.247895,75.53,644.0
2023-05-10 02:30:57.935920,75.5,644.0
2023-05-10 02:32:03.578802,75.49,644.0
2023-05-10 02:33:09.266027,75.18,646.0
2023-05-10 02:34:14.965547,75.49,644.0
2023-05-10 02:35:20.658815,75.93,642.0
2023-05-10 02:36:26.311951,75.89,642.0
2023-05-10 02:37:32.007880,75.49,644.0
2023-05-10 02:38:37.660772,75.97,641.0
2023-05-10 02:39:43.314589,75.93,642.0
2023-05-10 02:40:48.963848,75.95,641.0
2023-05-10 02:41:54.639820,75.48,644.0
2023-05-10 02:43:00.292471,75.49,644.0
2023-05-10 02:44:05.995155,75.99,641.0
2023-05-10 02:45:11.680941,75.53,644.0
2023-05-10 02:46:17.348482,75.54,644.0
2023-05-10 02:47:23.012189,75.48,644.0
2023-05-10 02:48:28.703071,75.48,644.0
2023-05-10 02:49:34.408201,75.08,647.0
2023-05-10 02:50:40.104152,75.55,644.0
2023-05-10 02:51:45.732131,75.85,642.0
2023-05-10 02:52:51.404214,76.0,641.0
2023-05-10 02:53:57.047835,75.51,644.0
2023-05-10 02:55:02.699839,75.91,642.0
2023-05-10 02:56:08.404622,75.93,642.0
2023-05-10 02:57:14.095385,75.52,644.0
2023-05-10 02:58:19.725973,75.91,642.0
2023-05-10 02:59:25.395805,75.05,647.0
2023-05-10 03:00:31.115124,75.99,641.0
2023-05-10 03:01:36.813409,75.95,641.0
2023-05-10 03:02:42.490950,75.46,644.0
2023-05-10 03:03:48.165450,75.42,645.0
2023-05-10 03:04:53.851355,75.51,644.0
