time,distance
2023-04-17 16:26:10.833061,806.51
2023-04-17 16:26:40.696030,211.32
2023-04-17 16:27:00.246966,15.74
2023-04-17 16:27:08.450190,2.85
2023-04-17 16:27:15.116903,211.56
