time,distance,litros
2023-05-09 19:40:26.188926,807.61,-3662.0
2023-05-09 19:41:31.861087,88.5,568.0
2023-05-09 19:42:39.343902,50.07,794.0
2023-05-09 19:43:43.888177,501.65,-1863.0
2023-05-09 19:44:49.579460,647.63,-2721.0
2023-05-09 19:45:55.290699,807.7,-3663.0
2023-05-09 19:47:00.910140,47.76,807.0
2023-05-09 19:48:06.530162,70.21,675.0
2023-05-09 19:41:27.133282,75.05,647.0
2023-05-09 19:42:31.859969,76.36,639.0
2023-05-09 19:43:36.417952,84.55,591.0
2023-05-09 19:44:40.936876,76.8,636.0
2023-05-09 21:30:43.195638,75.88,642.0
2023-05-09 21:31:47.724242,76.37,639.0
2023-05-09 21:32:52.283775,75.45,644.0
2023-05-09 21:33:56.825580,75.84,642.0
2023-05-09 21:35:01.383857,75.72,643.0
2023-05-09 21:36:05.947646,75.87,642.0
2023-05-09 21:37:10.522896,76.74,637.0
2023-05-09 21:38:15.081043,85.0,588.0
2023-05-09 21:39:19.636945,75.91,642.0
2023-05-09 21:40:24.152023,75.96,641.0
2023-05-09 21:41:28.702522,75.47,644.0
2023-05-09 21:42:33.239880,75.92,642.0
2023-05-09 21:43:37.786931,75.91,642.0
2023-05-09 21:44:42.321334,76.48,638.0
2023-05-09 21:45:46.893841,75.88,642.0
2023-05-09 21:46:51.459895,76.33,639.0
2023-05-09 21:47:56.033583,75.43,645.0
2023-05-09 21:49:00.545078,75.14,646.0
2023-05-09 21:50:05.117874,75.5,644.0
2023-05-09 21:51:09.679304,75.82,642.0
2023-05-09 21:52:14.249155,76.3,639.0
2023-05-09 21:53:18.767974,75.94,642.0
2023-05-09 21:54:23.320009,75.94,642.0
2023-05-09 21:55:27.867219,85.22,587.0
2023-05-09 21:56:32.404014,76.3,639.0
2023-05-09 21:57:36.947917,75.04,647.0
2023-05-09 21:58:41.482516,77.06,635.0
2023-05-09 21:59:45.975206,76.76,637.0
2023-05-09 22:00:50.533035,75.93,642.0
2023-05-09 22:01:55.063294,75.8,642.0
2023-05-09 22:02:59.618149,76.29,639.0
2023-05-09 22:04:04.188341,76.76,637.0
2023-05-09 22:05:08.761763,76.77,637.0
2023-05-09 22:06:13.248857,75.42,645.0
2023-05-09 22:07:17.769237,76.74,637.0
2023-05-09 22:08:22.284873,76.3,639.0
2023-05-09 22:09:26.832412,75.89,642.0
2023-05-09 22:10:31.365180,76.33,639.0
2023-05-09 22:11:35.866030,75.86,642.0
2023-05-09 22:12:40.403911,74.9,648.0
2023-05-09 22:13:44.976329,84.78,590.0
2023-05-09 22:14:49.516637,74.93,647.0
2023-05-09 22:15:54.073870,76.3,639.0
2023-05-09 22:16:58.579967,76.23,640.0
2023-05-09 22:18:03.116251,76.13,640.0
2023-05-09 22:19:07.642901,75.92,642.0
2023-05-09 22:20:12.154285,75.86,642.0
2023-05-09 22:21:16.687966,76.26,640.0
2023-05-09 22:22:21.235867,75.87,642.0
2023-05-09 22:23:25.780792,75.05,647.0
2023-05-09 22:24:30.307893,76.34,639.0
2023-05-09 22:25:34.868367,75.47,644.0
2023-05-09 22:26:39.428016,76.69,637.0
2023-05-09 22:27:43.984133,76.74,637.0
2023-05-09 22:28:48.505794,76.75,637.0
2023-05-09 22:29:53.062732,75.48,644.0
2023-05-09 22:30:57.635962,76.22,640.0
2023-05-09 22:32:02.192944,75.89,642.0
2023-05-09 22:33:06.731403,74.69,649.0
2023-05-09 22:34:11.280566,76.73,637.0
2023-05-09 22:35:15.846818,75.44,644.0
2023-05-09 22:36:20.401644,75.84,642.0
2023-05-09 22:37:24.971959,76.1,641.0
2023-05-09 22:38:29.518731,75.48,644.0
2023-05-09 22:39:34.063869,76.27,640.0
2023-05-09 22:40:38.620395,75.48,644.0
2023-05-09 22:41:43.194834,75.52,644.0
2023-05-09 22:42:47.748087,75.05,647.0
2023-05-09 22:43:52.293792,75.48,644.0
2023-05-09 22:44:56.799958,75.45,644.0
2023-05-09 22:46:01.359608,75.05,647.0
2023-05-09 22:47:05.905624,75.02,647.0
2023-05-09 22:48:10.422691,75.97,641.0
2023-05-09 22:49:14.968210,76.29,639.0
2023-05-09 22:50:19.522807,75.5,644.0
2023-05-09 22:51:24.076148,85.52,585.0
2023-05-09 22:52:28.586580,75.87,642.0
2023-05-09 22:53:33.128008,75.43,645.0
2023-05-09 22:54:37.684087,75.82,642.0
2023-05-09 22:55:42.240116,76.27,640.0
2023-05-09 22:56:46.792129,76.88,636.0
2023-05-09 22:57:51.319759,76.74,637.0
2023-05-09 22:58:55.862401,76.67,637.0
2023-05-09 23:00:00.398355,76.76,637.0
2023-05-09 23:01:04.961494,76.27,640.0
2023-05-09 23:02:09.519948,75.53,644.0
2023-05-09 23:03:14.092281,76.33,639.0
2023-05-09 23:04:18.651677,75.9,642.0
2023-05-09 23:05:23.212825,76.8,636.0
2023-05-09 23:06:27.739892,75.43,645.0
