time,distance,litros
2023-05-04 10:32:18.586701,49.61,796.0
2023-05-04 10:33:23.123010,49.53,797.0
2023-05-04 10:34:27.644614,49.57,797.0
2023-05-04 10:35:32.202669,50.4,792.0
2023-05-04 10:36:19.476521,50.42,792.0
2023-05-04 10:37:38.323783,50.04,794.0
2023-05-04 10:38:07.468046,50.74,790.0
2023-05-04 10:39:24.432697,50.08,794.0
2023-05-04 10:40:28.970606,50.21,793.0
2023-05-04 10:41:32.680286,50.16,793.0
2023-05-04 10:42:37.254568,50.58,791.0
2023-05-04 10:43:41.845553,48.31,804.0
2023-05-04 10:44:59.928802,48.31,804.0
2023-05-04 10:46:19.143119,48.27,804.0
2023-05-04 10:46:59.252715,49.71,796.0
2023-05-04 10:48:18.211883,49.69,796.0
2023-05-04 10:49:22.788908,49.68,796.0
2023-05-04 10:50:27.296536,49.7,796.0
2023-05-04 10:51:31.861116,49.7,796.0
2023-05-04 10:52:36.433155,50.03,794.0
2023-05-04 10:53:44.042602,50.04,794.0
2023-05-04 10:54:48.584547,49.66,796.0
2023-05-04 10:55:53.126611,49.7,796.0
2023-05-04 10:56:58.540878,50.06,794.0
2023-05-04 10:58:03.064810,49.66,796.0
2023-05-04 10:59:07.635715,50.2,793.0
2023-05-04 11:00:12.210498,49.65,796.0
2023-05-04 11:01:16.720824,49.65,796.0
2023-05-04 11:02:21.241186,49.75,796.0
2023-05-04 11:03:25.773495,49.25,799.0
2023-05-04 11:04:30.308818,49.7,796.0
2023-05-04 11:05:34.891263,49.66,796.0
2023-05-04 11:06:39.433170,49.7,796.0
2023-05-04 11:07:43.964471,49.68,796.0
2023-05-04 11:08:48.457704,49.66,796.0
2023-05-04 11:09:52.976834,49.73,796.0
2023-05-04 11:10:57.538557,49.62,796.0
2023-05-04 11:12:02.032556,49.12,799.0
2023-05-04 11:13:06.596990,50.05,794.0
2023-05-04 11:14:11.151283,50.02,794.0
2023-05-04 11:15:15.684830,50.0,794.0
2023-05-04 11:16:20.224868,49.68,796.0
2023-05-04 11:17:24.751752,49.7,796.0
2023-05-04 11:18:29.306554,49.7,796.0
2023-05-04 11:19:33.871174,49.69,796.0
2023-05-04 11:20:38.431609,49.68,796.0
2023-05-04 11:21:42.992667,50.05,794.0
2023-05-04 11:22:47.552819,47.93,806.0
2023-05-04 11:23:52.115745,49.71,796.0
2023-05-04 11:24:56.673996,49.33,798.0
2023-05-04 11:26:01.176976,49.68,796.0
2023-05-04 11:27:05.716911,49.67,796.0
2023-05-04 11:28:10.287134,50.0,794.0
2023-05-04 11:29:14.860791,48.69,802.0
2023-05-04 11:30:19.432878,49.63,796.0
2023-05-04 11:31:24.010455,49.69,796.0
2023-05-04 11:32:28.556420,49.67,796.0
2023-05-04 11:33:33.133449,50.0,794.0
2023-05-04 11:34:37.708511,49.65,796.0
2023-05-04 11:35:42.264908,49.3,798.0
2023-05-04 11:36:46.816929,50.02,794.0
2023-05-04 11:37:51.326506,49.63,796.0
2023-05-04 11:38:55.856831,49.7,796.0
2023-05-04 11:40:00.425226,49.66,796.0
2023-05-04 11:41:04.949002,50.03,794.0
2023-05-04 11:42:09.469976,50.06,794.0
2023-05-04 11:43:14.038275,49.13,799.0
2023-05-04 11:44:18.552973,49.59,797.0
2023-05-04 11:45:23.116987,50.4,792.0
2023-05-04 11:46:27.683427,50.03,794.0
2023-05-04 11:47:32.232903,50.02,794.0
2023-05-04 11:48:36.779227,49.5,797.0
2023-05-04 11:49:41.284900,49.08,800.0
2023-05-04 11:50:45.849476,49.55,797.0
2023-05-04 11:51:50.391408,49.52,797.0
2023-05-04 11:52:54.932836,49.53,797.0
2023-05-04 11:53:59.452778,49.12,799.0
2023-05-04 11:55:03.993045,50.03,794.0
2023-05-04 11:56:08.560973,50.15,793.0
2023-05-04 11:57:13.122829,47.88,807.0
2023-05-04 11:58:17.671564,50.06,794.0
2023-05-04 11:59:22.245250,50.02,794.0
2023-05-04 12:00:26.818753,49.55,797.0
2023-05-04 12:01:31.387148,49.15,799.0
2023-05-04 12:02:35.953144,49.54,797.0
2023-05-04 12:03:40.504974,49.55,797.0
2023-05-04 12:04:45.056871,50.02,794.0
2023-05-04 12:05:49.624125,49.55,797.0
2023-05-04 12:06:54.168802,49.49,797.0
2023-05-04 12:07:58.742272,50.35,792.0
2023-05-04 12:09:03.313155,49.57,797.0
2023-05-04 12:10:07.885001,50.02,794.0
2023-05-04 12:11:12.446525,49.54,797.0
2023-05-04 12:12:16.999482,49.1,799.0
2023-05-04 12:13:21.549128,49.55,797.0
2023-05-04 12:14:26.105544,50.01,794.0
2023-05-04 12:15:30.673008,49.12,799.0
2023-05-04 12:16:35.232693,49.54,797.0
2023-05-04 12:17:39.769176,50.0,794.0
2023-05-04 12:18:44.281209,48.74,802.0
2023-05-04 12:19:48.856900,49.99,794.0
2023-05-04 12:20:53.424818,50.24,793.0
2023-05-04 12:21:57.991671,49.63,796.0
2023-05-04 12:23:02.516957,49.54,797.0
2023-05-04 12:24:07.043550,50.0,794.0
2023-05-04 12:25:11.595511,49.57,797.0
2023-05-04 12:26:16.132880,50.05,794.0
2023-05-04 12:27:20.697954,49.15,799.0
2023-05-04 12:28:25.232288,50.03,794.0
2023-05-04 12:29:29.716858,48.35,804.0
2023-05-04 12:30:34.252822,47.53,809.0
2023-05-04 12:31:38.794608,48.36,804.0
2023-05-04 12:32:43.335564,47.92,806.0
2023-05-04 12:33:47.924678,48.27,804.0
2023-05-04 12:34:52.474904,49.12,799.0
2023-05-04 12:35:57.042675,47.9,806.0
2023-05-04 12:37:01.552787,47.77,807.0
2023-05-04 12:38:06.118005,48.32,804.0
2023-05-04 12:39:10.681496,47.72,808.0
2023-05-04 12:40:15.249793,47.48,809.0
2023-05-04 12:41:19.800962,49.11,799.0
2023-05-04 12:42:24.337927,47.89,807.0
2023-05-04 12:43:28.905957,48.37,804.0
2023-05-04 12:44:33.469240,48.66,802.0
2023-05-04 12:45:38.029050,48.62,802.0
2023-05-04 12:46:42.579898,48.28,804.0
2023-05-04 12:47:47.152516,48.31,804.0
2023-05-04 12:48:51.710952,49.11,799.0
2023-05-04 12:49:56.270430,48.69,802.0
2023-05-04 12:51:00.836898,48.27,804.0
2023-05-04 12:51:46.857803,56.72,755.0
