time,distance,litros,litrosTotales
2023-09-13 01:57:31.444700,18.36,5880.0,1.0
2023-09-13 01:58:35.969248,16.99,5928.0,1.0
2023-09-13 01:59:40.540912,17.04,5928.0,1.0
2023-09-13 02:00:45.114991,17.64,5904.0,1.0
2023-09-13 02:01:49.675901,17.96,5898.0,1.0
2023-09-13 02:02:54.216495,18.01,5892.0,1.0
2023-09-13 02:03:58.781867,17.99,5892.0,1.0
2023-09-13 02:05:03.316393,17.94,5898.0,1.0
2023-09-13 02:06:07.884376,17.9,5898.0,1.0
2023-09-13 02:07:12.457622,17.62,5910.0,1.0
2023-09-13 02:08:17.004055,17.33,5916.0,1.0
2023-09-13 02:09:21.537446,17.65,5904.0,1.0
2023-09-13 02:10:26.106704,18.29,5886.0,1.0
2023-09-13 02:11:30.676512,17.35,5916.0,1.0
2023-09-13 02:12:35.198613,17.32,5916.0,1.0
2023-09-13 02:13:39.756572,17.48,5910.0,1.0
2023-09-13 02:14:44.308681,18.28,5886.0,1.0
2023-09-13 02:15:48.872511,17.36,5916.0,1.0
2023-09-13 02:16:53.420273,17.35,5916.0,1.0
2023-09-13 02:17:57.972620,17.59,5910.0,1.0
2023-09-13 02:19:02.525195,18.66,5868.0,1.0
2023-09-13 02:20:07.096359,17.67,5904.0,1.0
2023-09-13 02:21:11.655058,17.95,5898.0,1.0
2023-09-13 02:22:16.224725,17.35,5916.0,1.0
2023-09-13 02:23:20.748241,17.68,5904.0,1.0
2023-09-13 02:24:25.316548,17.67,5904.0,1.0
2023-09-13 02:25:29.859222,17.66,5904.0,1.0
2023-09-13 02:26:34.411159,17.77,5904.0,1.0
2023-09-13 02:27:38.944484,17.96,5898.0,1.0
2023-09-13 02:28:43.493839,17.95,5898.0,1.0
2023-09-13 02:29:48.053580,17.93,5898.0,1.0
2023-09-13 02:30:52.603887,17.64,5904.0,1.0
2023-09-13 02:31:57.143253,17.59,5910.0,1.0
2023-09-13 02:33:01.713653,17.93,5898.0,1.0
2023-09-13 02:34:06.264421,17.95,5898.0,1.0
2023-09-13 02:35:10.796376,17.97,5898.0,1.0
2023-09-13 02:36:15.328501,17.93,5898.0,1.0
2023-09-13 02:37:19.851528,17.97,5898.0,1.0
2023-09-13 02:38:24.393489,17.64,5904.0,1.0
2023-09-13 02:39:28.962778,17.38,5916.0,1.0
2023-09-13 02:40:33.496514,18.33,5880.0,1.0
2023-09-13 02:41:38.045495,17.27,5922.0,1.0
2023-09-13 02:42:42.604391,17.97,5898.0,1.0
2023-09-13 02:43:47.175808,18.27,5886.0,1.0
2023-09-13 02:44:51.700484,18.3,5886.0,1.0
2023-09-13 02:45:56.292303,17.28,5922.0,1.0
2023-09-13 02:47:00.868390,17.3,5916.0,1.0
2023-09-13 02:48:05.408698,17.66,5904.0,1.0
2023-09-13 02:49:09.941947,18.31,5886.0,1.0
2023-09-13 02:50:14.513585,17.29,5922.0,1.0
2023-09-13 02:51:19.092353,17.35,5916.0,1.0
2023-09-13 02:52:23.609076,17.61,5910.0,1.0
2023-09-13 02:53:28.188852,17.63,5910.0,1.0
2023-09-13 02:54:32.734817,17.31,5916.0,1.0
2023-09-13 02:55:37.275732,17.95,5898.0,1.0
2023-09-13 02:56:41.840376,17.67,5904.0,1.0
2023-09-13 02:57:46.409835,18.49,5874.0,1.0
2023-09-13 02:58:50.952310,17.65,5904.0,1.0
2023-09-13 02:59:55.512742,17.97,5898.0,1.0
2023-09-13 03:01:00.080270,17.96,5898.0,1.0
2023-09-13 03:02:04.595912,17.97,5898.0,1.0
2023-09-13 03:03:09.128369,18.29,5886.0,1.0
2023-09-13 03:04:13.676729,18.34,5880.0,1.0
2023-09-13 03:05:18.257976,17.35,5916.0,1.0
2023-09-13 03:06:22.744555,17.32,5916.0,1.0
2023-09-13 03:07:27.307431,18.34,5880.0,1.0
2023-09-13 03:08:31.874455,18.31,5886.0,1.0
2023-09-13 03:09:36.440981,17.31,5916.0,1.0
2023-09-13 03:10:40.997764,17.37,5916.0,1.0
2023-09-13 03:11:45.508334,17.62,5910.0,1.0
2023-09-13 03:12:50.068360,17.59,5910.0,1.0
2023-09-13 03:13:54.619424,16.8,5934.0,1.0
2023-09-13 03:14:59.184832,17.6,5910.0,1.0
2023-09-13 03:16:03.742676,17.99,5892.0,1.0
2023-09-13 03:17:08.295258,17.96,5898.0,1.0
2023-09-13 03:18:12.804332,17.63,5910.0,1.0
2023-09-13 03:19:17.370765,17.7,5904.0,1.0
2023-09-13 03:20:21.934415,17.61,5910.0,1.0
2023-09-13 03:21:26.495121,17.59,5910.0,1.0
2023-09-13 03:22:30.996804,18.0,5892.0,1.0
2023-09-13 03:23:35.520341,17.93,5898.0,1.0
2023-09-13 03:24:40.021058,18.09,5892.0,1.0
2023-09-13 03:25:44.528387,17.91,5898.0,1.0
2023-09-13 03:26:49.112372,17.94,5898.0,1.0
2023-09-13 03:27:53.671365,17.94,5898.0,1.0
2023-09-13 03:28:58.228340,17.64,5904.0,1.0
2023-09-13 03:30:02.800942,18.02,5892.0,1.0
2023-09-13 03:31:07.374578,17.97,5898.0,1.0
2023-09-13 03:32:11.857024,17.99,5892.0,1.0
2023-09-13 03:33:16.421460,17.93,5898.0,1.0
2023-09-13 03:34:20.984628,18.15,5886.0,1.0
2023-09-13 03:35:25.543617,17.93,5898.0,1.0
2023-09-13 03:36:30.058776,17.0,5928.0,1.0
2023-09-13 03:37:34.628926,17.67,5904.0,1.0
2023-09-13 03:38:39.156389,17.98,5892.0,1.0
2023-09-13 03:39:43.700359,17.93,5898.0,1.0
2023-09-13 03:40:48.275089,17.95,5898.0,1.0
2023-09-13 03:41:52.852325,17.95,5898.0,1.0
2023-09-13 03:42:57.387791,17.93,5898.0,1.0
2023-09-13 03:44:01.910664,17.97,5898.0,1.0
2023-09-13 03:45:06.474415,16.9,5934.0,1.0
2023-09-13 03:46:11.021412,16.99,5928.0,1.0
2023-09-13 03:47:15.575752,18.02,5892.0,1.0
2023-09-13 03:48:20.116490,17.96,5898.0,1.0
2023-09-13 03:49:24.688504,18.02,5892.0,1.0
2023-09-13 03:50:29.267294,18.0,5892.0,1.0
2023-09-13 03:51:33.847533,17.97,5898.0,1.0
2023-09-13 03:52:38.409194,17.99,5892.0,1.0
2023-09-13 03:53:42.932558,17.02,5928.0,1.0
2023-09-13 03:54:47.503961,17.01,5928.0,1.0
2023-09-13 03:55:52.052886,17.6,5910.0,1.0
2023-09-13 03:56:56.624243,17.93,5898.0,1.0
2023-09-13 03:58:01.161636,18.15,5886.0,1.0
2023-09-13 03:59:05.721493,17.96,5898.0,1.0
2023-09-13 04:00:10.290370,17.95,5898.0,1.0
2023-09-13 04:01:14.844489,17.99,5892.0,1.0
2023-09-13 04:02:19.397820,16.98,5928.0,1.0
2023-09-13 04:03:23.904695,17.04,5928.0,1.0
2023-09-13 04:04:28.468444,17.01,5928.0,1.0
2023-09-13 04:05:32.999843,17.69,5904.0,1.0
2023-09-13 04:06:37.551540,17.95,5898.0,1.0
2023-09-13 04:07:42.093713,18.74,5868.0,1.0
2023-09-13 04:08:46.631091,17.99,5892.0,1.0
2023-09-13 04:09:51.182237,17.98,5892.0,1.0
2023-09-13 04:10:55.726932,17.23,5922.0,1.0
2023-09-13 04:12:00.248518,17.97,5898.0,1.0
2023-09-13 04:13:04.729941,16.99,5928.0,1.0
2023-09-13 04:14:09.248344,16.99,5928.0,1.0
2023-09-13 04:15:13.760332,16.98,5928.0,1.0
2023-09-13 04:16:18.325605,17.91,5898.0,1.0
2023-09-13 04:17:22.892917,18.03,5892.0,1.0
2023-09-13 04:18:27.447701,17.99,5892.0,1.0
2023-09-13 04:19:32.019658,18.0,5892.0,1.0
2023-09-13 04:20:36.523867,17.92,5898.0,1.0
2023-09-13 04:21:41.088032,17.01,5928.0,1.0
2023-09-13 04:22:45.617727,17.03,5928.0,1.0
2023-09-13 04:23:50.165533,17.05,5928.0,1.0
2023-09-13 04:24:54.680480,17.66,5904.0,1.0
2023-09-13 04:25:59.200489,18.0,5892.0,1.0
2023-09-13 04:27:03.712747,17.93,5898.0,1.0
2023-09-13 04:28:08.224654,17.99,5892.0,1.0
2023-09-13 04:29:12.768654,18.29,5886.0,1.0
2023-09-13 04:30:17.291954,17.74,5904.0,1.0
2023-09-13 04:31:21.865342,17.05,5928.0,1.0
2023-09-13 04:32:26.416458,16.98,5928.0,1.0
2023-09-13 04:33:30.914628,17.0,5928.0,1.0
2023-09-13 04:34:35.432681,17.97,5898.0,1.0
2023-09-13 04:35:39.979062,17.98,5892.0,1.0
2023-09-13 04:36:44.491619,17.99,5892.0,1.0
2023-09-13 04:37:49.030161,17.95,5898.0,1.0
2023-09-13 04:38:53.597731,17.91,5898.0,1.0
2023-09-13 04:39:58.165952,16.96,5928.0,1.0
2023-09-13 04:41:02.696335,17.02,5928.0,1.0
2023-09-13 04:42:07.261526,17.02,5928.0,1.0
2023-09-13 04:43:11.783451,17.64,5904.0,1.0
2023-09-13 04:44:16.345960,17.97,5898.0,1.0
2023-09-13 04:45:20.890801,17.93,5898.0,1.0
2023-09-13 04:46:25.455939,17.95,5898.0,1.0
2023-09-13 04:47:29.979874,17.93,5898.0,1.0
2023-09-13 04:48:34.573742,17.93,5898.0,1.0
2023-09-13 04:49:39.159369,17.0,5928.0,1.0
2023-09-13 04:50:43.700775,17.02,5928.0,1.0
2023-09-13 04:51:48.265676,16.98,5928.0,1.0
2023-09-13 04:52:52.813632,17.59,5910.0,1.0
2023-09-13 04:53:57.381875,17.98,5892.0,1.0
2023-09-13 04:55:01.928471,17.92,5898.0,1.0
2023-09-13 04:56:06.510420,17.97,5898.0,1.0
2023-09-13 04:57:11.039860,17.93,5898.0,1.0
2023-09-13 04:58:15.581515,17.94,5898.0,1.0
2023-09-13 04:59:20.144542,17.37,5916.0,1.0
2023-09-13 05:00:24.713429,16.97,5928.0,1.0
2023-09-13 05:01:29.274692,17.63,5910.0,1.0
2023-09-13 05:02:33.803011,17.97,5898.0,1.0
2023-09-13 05:03:38.366693,17.89,5898.0,1.0
2023-09-13 05:04:42.913558,17.93,5898.0,1.0
2023-09-13 05:05:47.436364,17.99,5892.0,1.0
2023-09-13 05:06:51.987125,17.96,5898.0,1.0
2023-09-13 05:07:56.500418,17.01,5928.0,1.0
2023-09-13 05:09:01.029262,17.04,5928.0,1.0
2023-09-13 05:10:05.588451,16.96,5928.0,1.0
2023-09-13 05:11:10.144320,17.67,5904.0,1.0
2023-09-13 05:12:14.675691,18.41,5880.0,1.0
2023-09-13 05:13:19.251640,17.97,5898.0,1.0
2023-09-13 05:14:23.752499,17.96,5898.0,1.0
2023-09-13 05:15:28.288470,18.0,5892.0,1.0
2023-09-13 05:16:32.840852,17.97,5898.0,1.0
2023-09-13 05:17:37.418281,17.03,5928.0,1.0
2023-09-13 05:18:41.967630,16.97,5928.0,1.0
2023-09-13 05:19:46.512364,17.0,5928.0,1.0
2023-09-13 05:20:51.049831,18.6,5874.0,1.0
2023-09-13 05:21:55.642381,17.97,5898.0,1.0
2023-09-13 05:23:00.192922,17.95,5898.0,1.0
2023-09-13 05:24:04.733790,17.98,5892.0,1.0
2023-09-13 05:25:09.236390,17.96,5898.0,1.0
2023-09-13 05:26:13.806745,16.99,5928.0,1.0
2023-09-13 05:27:18.352439,17.05,5928.0,1.0
2023-09-13 05:28:22.921973,17.02,5928.0,1.0
2023-09-13 05:29:27.465755,17.05,5928.0,1.0
2023-09-13 05:30:31.975376,17.98,5892.0,1.0
2023-09-13 05:31:36.480361,17.99,5892.0,1.0
2023-09-13 05:32:41.016668,17.86,5898.0,1.0
2023-09-13 05:33:45.568864,17.97,5898.0,1.0
2023-09-13 05:34:50.139790,17.67,5904.0,1.0
2023-09-13 05:35:54.713461,17.67,5904.0,1.0
2023-09-13 05:36:59.252289,17.34,5916.0,1.0
2023-09-13 05:38:03.799761,18.13,5892.0,1.0
2023-09-13 05:39:08.320971,18.0,5892.0,1.0
2023-09-13 05:40:12.836309,17.65,5904.0,1.0
2023-09-13 05:41:17.367475,18.57,5874.0,1.0
2023-09-13 05:42:21.929269,18.29,5886.0,1.0
2023-09-13 05:43:26.462582,18.61,5874.0,1.0
2023-09-13 05:44:31.031857,17.66,5904.0,1.0
2023-09-13 05:45:35.565257,17.63,5910.0,1.0
2023-09-13 05:46:40.133877,18.45,5880.0,1.0
2023-09-13 05:47:44.692353,17.65,5904.0,1.0
2023-09-13 05:48:49.198913,18.66,5868.0,1.0
2023-09-13 05:49:53.777466,18.58,5874.0,1.0
2023-09-13 05:50:58.350719,18.33,5880.0,1.0
2023-09-13 05:52:02.893315,18.27,5886.0,1.0
2023-09-13 05:53:07.464908,18.94,5862.0,1.0
2023-09-13 05:54:12.003278,19.31,5850.0,1.0
2023-09-13 05:55:16.570439,18.28,5886.0,1.0
2023-09-13 05:56:21.098013,18.28,5886.0,1.0
2023-09-13 05:57:25.660616,18.27,5886.0,1.0
2023-09-13 05:58:30.164500,18.26,5886.0,1.0
2023-09-13 05:59:34.692433,18.59,5874.0,1.0
2023-09-13 06:00:39.260410,18.6,5874.0,1.0
2023-09-13 06:01:43.828361,17.65,5904.0,1.0
2023-09-13 06:02:48.384389,17.64,5904.0,1.0
2023-09-13 06:03:52.924486,18.63,5874.0,1.0
2023-09-13 06:04:57.468323,17.63,5910.0,1.0
2023-09-13 06:06:02.043146,17.97,5898.0,1.0
2023-09-13 06:07:06.572349,17.99,5892.0,1.0
2023-09-13 06:08:11.104844,17.98,5892.0,1.0
2023-09-13 06:09:15.642817,18.29,5886.0,1.0
2023-09-13 06:10:20.209228,18.31,5886.0,1.0
2023-09-13 06:11:24.747967,16.6,5946.0,1.0
2023-09-13 06:12:29.311401,17.95,5898.0,1.0
2023-09-13 06:13:33.860553,18.26,5886.0,1.0
2023-09-13 06:14:38.380391,18.69,5868.0,1.0
