time,temp,humi,pres
2021-06-21 00:00:51.571839,20.227250151283748,75.19098757813427,914.9819775279191
2021-06-21 00:01:51.649347,20.242174657029626,75.07101099734494,915.0003273509653
2021-06-21 00:02:51.708185,20.324421969863412,74.6093377545498,915.0249929280263
2021-06-21 00:03:51.771829,20.259256359348967,74.75305407765116,915.0318122953319
2021-06-21 00:04:51.851840,20.151291455232403,75.1282400336839,915.0144638510218
2021-06-21 00:05:51.931830,20.15503192405151,74.93084775554912,915.0346904175584
2021-06-21 00:06:52.011840,20.051895142827426,75.23920331269382,915.045859780985
2021-06-21 00:07:52.087797,20.090443068170273,75.15893387881283,915.0575214518115
2021-06-21 00:08:52.157111,19.962993062663127,75.50343340791474,915.0311492506123
2021-06-21 00:09:52.221823,20.05217203695191,75.22666198049653,915.0359584076174
2021-06-21 00:10:52.296571,20.089935120577376,74.98218076002084,915.0206373730923
2021-06-21 00:11:52.356566,20.03227063736029,75.12861987441029,914.9966059251685
2021-06-21 00:12:52.421833,19.995124728071392,75.19230829623946,914.9924164529491
2021-06-21 00:13:52.501854,20.05680268578714,74.98818971706716,914.9820356131154
2021-06-21 00:14:52.576606,20.119031799880077,74.74024207595652,914.9884513168677
2021-06-21 00:15:52.636636,20.0848792634139,74.8422765879604,914.9812974127107
2021-06-21 00:16:52.701821,20.043270951943338,74.90343075549559,914.9750088624493
2021-06-21 00:17:52.776534,20.098217381417136,74.52721532112001,914.9746902503936
2021-06-21 00:18:52.839464,20.086375987963013,74.61648492760101,914.980449707236
2021-06-21 00:19:52.897877,19.955156895167047,75.10578725868302,914.9527362111039
2021-06-21 00:20:52.957261,20.18276749840272,74.25480499547785,914.9751417201135
2021-06-21 00:21:53.016632,20.068141780918285,74.71268236443208,914.9874790884148
2021-06-21 00:22:53.079658,19.97191909510925,75.02831626686904,914.9823579393031
2021-06-21 00:23:53.151851,19.9688088995891,75.027710034908,915.0056501343181
2021-06-21 00:24:53.231872,19.885849267606805,75.39486631908851,915.0103348875901
2021-06-21 00:25:53.312074,20.13663881110724,74.33894130520554,915.0210220891584
2021-06-21 00:26:53.391830,19.857398828032796,75.31876608074737,914.9775799435666
2021-06-21 00:27:53.471822,19.91698510406161,74.94735660764131,914.9745178393871
2021-06-21 00:28:53.547425,19.801564473109714,75.39321977279056,914.9895828011732
2021-06-21 00:29:53.606734,19.848998240282018,75.31498047285915,915.0035446664166
2021-06-21 00:30:53.671828,19.786300602377267,75.46918181360472,915.0250059197352
2021-06-21 00:31:53.747162,19.883589878625813,75.15268976634114,915.0215891433733
2021-06-21 00:32:53.809374,19.97892222341649,74.76520927240288,915.0168629316627
2021-06-21 00:33:53.871829,19.82109824060577,75.25777368702633,915.0206783620254
2021-06-21 00:34:53.946599,19.89536173529119,74.89293203781105,914.9920975676442
2021-06-21 00:35:54.011842,20.060926109911822,74.26876814406923,914.9635630614605
2021-06-21 00:36:54.087444,19.829094407147032,75.13784233484134,914.9348786687999
2021-06-21 00:37:54.151892,19.76237079795556,75.25038725368886,914.9374166061692
2021-06-21 00:38:54.227317,19.78702499647624,75.16751599664067,914.920049782924
2021-06-21 00:39:54.311826,19.770959691456152,75.17687064458313,914.9023127157568
2021-06-21 00:40:54.391895,19.83640394615998,74.89598572590661,914.8852024460305
2021-06-21 00:41:54.471825,19.7802840589755,74.96197906447735,914.9282718847195
2021-06-21 00:42:54.547118,19.794932832095387,74.9888112029309,914.9358084221433
2021-06-21 00:43:54.607268,19.823052251108095,74.70262779470038,914.9052014555921
2021-06-21 00:44:54.687680,19.696778618353598,75.36489158822471,914.8921471998908
2021-06-21 00:45:54.751836,19.87983186223022,74.56219889529594,914.8667190848893
2021-06-21 00:46:54.831843,19.87136656571926,74.5039368821988,914.8514858865076
2021-06-21 00:47:54.911843,19.76669833756822,74.6800248452228,914.8490475261198
2021-06-21 00:48:54.991831,19.756123554494835,74.6972786913656,914.8393147532518
2021-06-21 00:49:55.071830,19.676962895100747,75.03452339391104,914.8504303340421
2021-06-21 00:50:55.151832,19.672297311167146,75.2146270372448,914.8669736779923
2021-06-21 00:51:55.231840,19.80807433907136,74.72331353298333,914.8708921333687
2021-06-21 00:52:55.311813,19.71925832418372,74.82024196125465,914.8488440883364
2021-06-21 00:53:55.381879,19.744315911647597,74.73373690119134,914.8617200071866
2021-06-21 00:54:55.460050,19.70377525696866,74.90117689697279,914.85005189529
2021-06-21 00:55:55.516646,19.695333010136302,74.9949925176093,914.8559644852625
2021-06-21 00:56:55.577486,19.58583524820194,75.49613424726566,914.8514281103674
2021-06-21 00:57:55.641829,19.645929145794533,75.17180994755827,914.8784083940684
2021-06-21 00:58:55.721890,19.793276554523036,74.81232013609615,914.8602135322361
2021-06-21 00:59:55.801826,19.809385528366413,74.64124760763255,914.8378313453243
2021-06-21 01:00:55.878778,19.643952997668553,75.29672609880136,914.8517831956896
2021-06-21 01:01:55.941819,19.67396663823523,75.0743287065133,914.8798230296846
2021-06-21 01:02:56.021837,19.74485505892809,74.77651692754327,914.8806572118714
2021-06-21 01:03:56.101838,19.769928581052692,74.53418173407914,914.8894575908889
2021-06-21 01:04:56.201858,19.773403280378794,74.57626288295988,914.884069541408
2021-06-21 01:05:56.281823,19.590533449069714,75.18376877733,914.8847338999312
2021-06-21 01:06:56.361838,19.48532467828394,75.71017465727714,914.882623944583
2021-06-21 01:07:56.442400,19.60853051522715,75.08386511067678,914.8871973305935
2021-06-21 01:08:56.506777,19.752650691717534,74.49972998991355,914.8891984749127
